TimeStamp, Channel, Quality, Alpha, Low_beta, High_beta, Gamma, Theta
08.41.04.373, IED_O1, 4, 2.502056, 0.195817, 0.188036, 0.248810, 0.269339 
08.41.04.377, IED_O2, 4, 3.837947, 0.566097, 0.268930, 0.254152, 0.762931 
08.41.04.378, IED_P8, 4, 1.728565, 0.706775, 0.324204, 0.225119, 1.134364 
08.41.04.380, IED_T8, 4, 0.671517, 0.642975, 0.296007, 0.246159, 1.249970 
08.41.04.383, IED_FC6, 4, 1.943725, 0.950914, 0.261844, 0.220744, 1.473165 
08.41.04.384, IED_F4, 4, 2.623738, 0.400885, 0.202203, 0.218734, 0.965934 
08.41.04.388, IED_F8, 4, 2.865823, 0.776367, 0.261867, 0.289421, 1.823734 
08.41.04.389, IED_AF4, 4, 3.111396, 0.659284, 0.218006, 0.182573, 2.074928 
08.41.05.392, IED_AF3, 4, 3.189749, 1.009633, 1.073573, 0.695672, 3.553643 
08.41.05.396, IED_F7, 4, 2.306055, 0.236657, 0.283717, 0.163705, 2.066882 
08.41.05.401, IED_F3, 4, 1.011273, 0.113930, 0.195847, 0.043706, 0.188312 
08.41.05.405, IED_FC5, 4, 1.763225, 0.426766, 0.524130, 0.186861, 2.217646 
08.41.05.408, IED_T7, 4, 0.574912, 0.307149, 0.236361, 0.127404, 1.508430 
08.41.05.410, IED_P7, 4, 0.969316, 0.159326, 0.213048, 0.149155, 0.605521 
08.41.05.412, IED_Pz, 4, 2.528803, 0.187411, 0.189744, 0.248707, 0.855724 
08.41.05.416, IED_O1, 4, 2.528803, 0.187411, 0.189744, 0.248707, 0.855724 
08.41.05.419, IED_O2, 4, 3.514964, 0.476714, 0.323419, 0.178677, 1.851804 
08.41.05.420, IED_P8, 4, 2.519240, 0.554480, 0.434839, 0.272428, 1.684169 
08.41.05.422, IED_T8, 4, 1.458040, 0.313443, 0.410299, 0.211914, 1.593440 
08.41.05.425, IED_FC6, 4, 4.021264, 0.157099, 0.537151, 0.314809, 1.615348 
08.41.05.427, IED_F4, 4, 3.370206, 0.173308, 0.498209, 0.196021, 1.170255 
08.41.05.429, IED_F8, 4, 4.553201, 0.441381, 0.552900, 0.321970, 2.232390 
08.41.05.432, IED_AF4, 4, 4.420139, 0.288228, 0.564320, 0.187955, 3.415317 
08.41.06.433, IED_AF3, 4, 2.563289, 1.305327, 0.853409, 0.557850, 1.831347 
08.41.06.435, IED_F7, 4, 1.596792, 0.385190, 0.248073, 0.199531, 1.638097 
08.41.06.438, IED_F3, 4, 0.528904, 0.116074, 0.081965, 0.103752, 0.494594 
08.41.06.441, IED_FC5, 4, 1.437573, 0.321254, 0.120434, 0.268154, 2.016010 
08.41.06.454, IED_T7, 4, 0.447849, 0.198420, 0.106705, 0.168597, 0.676680 
08.41.06.457, IED_P7, 4, 1.821779, 0.251388, 0.148242, 0.152948, 0.302825 
08.41.06.460, IED_Pz, 4, 2.648291, 0.175942, 0.267385, 0.236598, 0.306633 
08.41.06.463, IED_O1, 4, 2.648291, 0.175942, 0.267385, 0.236598, 0.306633 
08.41.06.467, IED_O2, 4, 3.587640, 0.986267, 0.401052, 0.234589, 1.695643 
08.41.06.470, IED_P8, 4, 4.808020, 1.366371, 0.488216, 0.279338, 2.124478 
08.41.06.473, IED_T8, 4, 2.168749, 0.717003, 0.442154, 0.306924, 1.371210 
08.41.06.477, IED_FC6, 4, 3.261741, 0.860578, 0.446347, 0.311849, 2.181876 
08.41.06.479, IED_F4, 4, 2.376013, 0.498145, 0.239462, 0.179519, 1.535995 
08.41.06.483, IED_F8, 4, 3.451541, 1.123259, 0.475394, 0.387941, 2.090160 
08.41.06.484, IED_AF4, 4, 3.426266, 0.758636, 0.236168, 0.223684, 3.029178 
08.41.07.486, IED_AF3, 4, 3.313980, 1.626475, 1.005379, 0.451311, 5.856652 
08.41.07.488, IED_F7, 4, 2.418573, 0.446898, 0.367410, 0.227349, 0.866532 
08.41.07.492, IED_F3, 4, 0.502209, 0.097124, 0.103024, 0.061563, 0.499779 
08.41.07.494, IED_FC5, 4, 2.160885, 0.347000, 0.413016, 0.284462, 1.985492 
08.41.07.495, IED_T7, 4, 1.137698, 0.099543, 0.162630, 0.124580, 0.260069 
08.41.07.497, IED_P7, 4, 1.212345, 0.218906, 0.153159, 0.105705, 0.452162 
08.41.07.499, IED_Pz, 4, 1.396657, 0.267522, 0.196864, 0.154953, 1.080855 
08.41.07.500, IED_O1, 4, 1.396657, 0.267522, 0.196864, 0.154953, 1.080855 
08.41.07.502, IED_O2, 4, 2.460959, 0.778201, 0.602312, 0.216393, 0.981182 
08.41.07.504, IED_P8, 4, 2.369249, 1.116941, 0.578134, 0.323886, 1.106197 
08.41.07.507, IED_T8, 4, 1.146976, 0.527713, 0.616616, 0.343514, 0.504471 
08.41.07.510, IED_FC6, 4, 3.303403, 0.432926, 0.519615, 0.286523, 1.783831 
08.41.07.513, IED_F4, 4, 4.306670, 0.449000, 0.462325, 0.182746, 3.336299 
08.41.07.517, IED_F8, 4, 3.875668, 0.724326, 0.637047, 0.311895, 1.982521 
08.41.07.520, IED_AF4, 4, 4.923471, 0.662551, 0.487974, 0.217322, 3.086717 
